Date,Description,Amount
2026-08-12,Movie Theater,250
2026-08-12,Uber Ride,900.71
2026-08-12,Local Restaurant,330.4
2026-08-12,Rapido Ride,31.21
2026-08-12,Netflix Subscription,200.84
2026-08-12,Spotify,150.68
2026-08-13,Starbucks,500.61
2026-08-14,Cafe Mocha,130.95
2026-08-14,Water Bill,71.22
2026-08-14,Vishal MegaMart Groceries,246.38
2026-08-15,Electric Bill,75.79
2026-08-15,Whole Foods Market,1128.05
2026-08-15,Internet Provider,882.96
2026-08-16,Petrol Pump,100.37
2026-08-16,Movie Theater,111.64
2026-08-17,Rapido Ride,112.52
2026-08-17,Vishal MegaMart Groceries,281.32
2026-08-17,Rapido Ride,76.46
2026-08-17,Electric Bill,56.54
2026-08-17,Movie Theater,106.87
2026-08-19,Petrol Pump,150.99
2026-08-19,Gym Membership,1200.32
2026-08-20,Spotify,170.16
2026-08-21,Vishal MegaMart Groceries,138.98
2026-08-21,Vishal MegaMart Groceries,97.74
2026-08-22,Starbucks,310.42
2026-08-22,Vishal MegaMart Groceries,107.76
2026-08-23,Water Bill,100.1
2026-08-23,Cafe Mocha,22.8
2026-08-23,Netflix Subscription,126.67
2026-08-23,Uber Ride,1500.08
2026-08-24,Spotify,120.1
2026-08-24,Gym Membership,1221.55
2026-08-25,Petrol Pump,280.97
2026-08-26,Water Bill,98.49
2026-08-26,Rapido Ride,32.45
2026-08-26,Rapido Ride,30.43
2026-08-26,Water Bill,96.83
2026-08-26,Vishal MegaMart Groceries,109.06
2026-08-26,Spotify,26.15
2026-08-27,Electric Bill,119.96
2026-08-27,Electric Bill,50.15
2026-08-28,Starbucks,223
2026-08-30,Movie Theater,100.54
2026-08-30,Local Restaurant,30.67
2026-08-30,Cafe Mocha,36.28
2026-08-31,Electric Bill,95.73
2026-09-01,Target,81.78
2026-09-01,Rapido Ride,33.63
2026-09-02,Target,133.93
2026-09-02,Starbucks,238.06
2026-09-03,Movie Theater,207.45
2026-09-03,Cafe Mocha,18.29
2026-09-03,Uber Ride,420.21
2026-09-04,Vishal MegaMart Groceries,121.67
2026-09-04,Movie Theater,23.99
2026-09-05,Local Restaurant,41.54
2026-09-06,Rapido Ride,37.02
2026-09-06,Uber Ride,180.7
2026-09-08,Cafe Mocha,6.71
2026-09-08,Apartment Rent,5200.0
2026-09-08,Local Restaurant,41.12
2026-09-09,Rapido Ride,41.67
2026-09-09,Water Bill,115.77
2026-09-09,Target,103.18
2026-09-09,Local Restaurant,21.34
2026-09-09,Rapido Ride,32.97
2026-09-10,Starbucks,19.51
2026-09-10,Vishal MegaMart Groceries,141.26
2026-09-10,Movie Theater,31.27
2026-09-10,Gym Membership,1234.78
2026-09-11,Rapido Ride,90.76
