Date,Description,Amount,Category
2026-08-12,Movie Theater,250.0,Entertainment
2026-08-12,Uber Ride,900.71,Transportation
2026-08-12,Local Restaurant,330.4,Dining
2026-08-12,Rapido Ride,31.21,Transportation
2026-08-12,Netflix Subscription,200.84,Entertainment
2026-08-12,Spotify,150.68,Entertainment
2026-08-13,Starbucks,500.61,Dining
2026-08-14,Cafe Mocha,130.95,Dining
2026-08-14,Water Bill,71.22,Utilities
2026-08-14,Vishal MegaMart Groceries,246.38,Groceries
2026-08-15,Electric Bill,75.79,Utilities
2026-08-15,Whole Foods Market,1128.05,Groceries
2026-08-15,Internet Provider,882.96,Utilities
2026-08-16,Petrol Pump,100.37,Transportation
2026-08-16,Movie Theater,111.64,Entertainment
2026-08-17,Rapido Ride,112.52,Transportation
2026-08-17,Vishal MegaMart Groceries,281.32,Groceries
2026-08-17,Rapido Ride,76.46,Transportation
2026-08-17,Electric Bill,56.54,Utilities
2026-08-17,Movie Theater,106.87,Entertainment
2026-08-19,Petrol Pump,150.99,Transportation
2026-08-19,Gym Membership,1200.32,Health & Fitness
2026-08-20,Spotify,170.16,Entertainment
2026-08-21,Vishal MegaMart Groceries,138.98,Groceries
2026-08-21,Vishal MegaMart Groceries,97.74,Groceries
2026-08-22,Starbucks,310.42,Dining
2026-08-22,Vishal MegaMart Groceries,107.76,Groceries
2026-08-23,Water Bill,100.1,Utilities
2026-08-23,Cafe Mocha,22.8,Dining
2026-08-23,Netflix Subscription,126.67,Entertainment
2026-08-23,Uber Ride,1500.08,Transportation
2026-08-24,Spotify,120.1,Entertainment
2026-08-24,Gym Membership,1221.55,Health & Fitness
2026-08-25,Petrol Pump,280.97,Transportation
2026-08-26,Water Bill,98.49,Utilities
2026-08-26,Rapido Ride,32.45,Transportation
2026-08-26,Rapido Ride,30.43,Transportation
2026-08-26,Water Bill,96.83,Utilities
2026-08-26,Vishal MegaMart Groceries,109.06,Groceries
2026-08-26,Spotify,26.15,Entertainment
2026-08-27,Electric Bill,119.96,Utilities
2026-08-27,Electric Bill,50.15,Utilities
2026-08-28,Starbucks,223.0,Dining
2026-08-30,Movie Theater,100.54,Entertainment
2026-08-30,Local Restaurant,30.67,Dining
2026-08-30,Cafe Mocha,36.28,Dining
2026-08-31,Electric Bill,95.73,Utilities
2026-09-01,Target,81.78,Groceries
2026-09-01,Rapido Ride,33.63,Transportation
2026-09-02,Target,133.93,Groceries
2026-09-02,Starbucks,238.06,Dining
2026-09-03,Movie Theater,207.45,Entertainment
2026-09-03,Cafe Mocha,18.29,Dining
2026-09-03,Uber Ride,420.21,Transportation
2026-09-04,Vishal MegaMart Groceries,121.67,Groceries
2026-09-04,Movie Theater,23.99,Entertainment
2026-09-05,Local Restaurant,41.54,Dining
2026-09-06,Rapido Ride,37.02,Transportation
2026-09-06,Uber Ride,180.7,Transportation
2026-09-08,Cafe Mocha,6.71,Dining
2026-09-08,Apartment Rent,5200.0,Utilities
2026-09-08,Local Restaurant,41.12,Dining
2026-09-09,Rapido Ride,41.67,Transportation
2026-09-09,Water Bill,115.77,Utilities
2026-09-09,Target,103.18,Groceries
2026-09-09,Local Restaurant,21.34,Dining
2026-09-09,Rapido Ride,32.97,Transportation
2026-09-10,Starbucks,19.51,Dining
2026-09-10,Vishal MegaMart Groceries,141.26,Groceries
2026-09-10,Movie Theater,31.27,Entertainment
2026-09-10,Gym Membership,1234.78,Health & Fitness
2026-09-11,Rapido Ride,90.76,Transportation
